step,time,sep
0,0,8.0698
5,0.05,8.0569
10,0.1,8.04391
15,0.15,8.03085
20,0.2,8.01772
25,0.25,8.00451
30,0.3,7.99123
35,0.35,7.97786
40,0.4,7.96442
45,0.45,7.95091
50,0.5,7.93732
55,0.55,7.92365
60,0.6,7.9099
65,0.65,7.89607
70,0.7,7.88217
75,0.75,7.86819
80,0.8,7.85413
85,0.85,7.83999
90,0.9,7.82577
95,0.95,7.81147
100,1,7.79709
105,1.05,7.78263
110,1.1,7.76809
115,1.15,7.75347
120,1.2,7.73876
125,1.25,7.72398
130,1.3,7.70911
135,1.35,7.69416
140,1.4,7.67913
145,1.45,7.66402
150,1.5,7.64882
155,1.55,7.63354
160,1.6,7.61817
165,1.65,7.60272
170,1.7,7.58719
175,1.75,7.57157
180,1.8,7.55586
185,1.85,7.54007
190,1.9,7.52419
195,1.95,7.50823
200,2,7.49217
205,2.05,7.47603
210,2.1,7.45981
215,2.15,7.44349
220,2.2,7.42709
225,2.25,7.41059
230,2.3,7.39401
235,2.35,7.37733
240,2.4,7.36056
245,2.45,7.34371
250,2.5,7.32676
255,2.55,7.30972
260,2.6,7.29258
265,2.65,7.27535
270,2.7,7.25803
275,2.75,7.24062
280,2.8,7.2231
285,2.85,7.2055
290,2.9,7.1878
295,2.95,7.17
300,3,7.1521
305,3.05,7.13411
310,3.1,7.11602
315,3.15,7.09782
320,3.2,7.07953
325,3.25,7.06115
330,3.3,7.04265
335,3.35,7.02406
340,3.4,7.00537
345,3.45,6.98657
350,3.5,6.96767
355,3.55,6.94867
360,3.6,6.92957
365,3.65,6.91035
370,3.7,6.89104
375,3.75,6.87161
380,3.8,6.85208
385,3.85,6.83244
390,3.9,6.8127
395,3.95,6.79284
400,4,6.77287
405,4.05,6.7528
410,4.1,6.73261
415,4.15,6.71231
420,4.2,6.6919
425,4.25,6.67138
430,4.3,6.65074
435,4.35,6.62998
440,4.4,6.60911
445,4.45,6.58813
450,4.5,6.56702
455,4.55,6.5458
460,4.6,6.52446
465,4.65,6.503
470,4.7,6.48142
475,4.75,6.45971
480,4.8,6.43789
485,4.85,6.41594
490,4.9,6.39387
495,4.95,6.37167
500,5,6.34935
505,5.05,6.3269
510,5.1,6.30432
515,5.15,6.28162
520,5.2,6.25878
525,5.25,6.23582
530,5.3,6.21272
535,5.35,6.1895
540,5.4,6.16613
545,5.45,6.14264
550,5.5,6.11901
555,5.55,6.09525
560,5.6,6.07135
565,5.65,6.04731
570,5.7,6.02314
575,5.75,5.99882
580,5.8,5.97437
585,5.85,5.94977
590,5.9,5.92504
595,5.95,5.90016
600,6,5.87514
605,6.05,5.84997
610,6.1,5.82466
615,6.15,5.7992
620,6.2,5.77361
625,6.25,5.74786
630,6.3,5.72197
635,6.35,5.69593
640,6.4,5.66975
645,6.45,5.64342
650,6.5,5.61694
655,6.55,5.59031
660,6.6,5.56353
665,6.65,5.53661
670,6.7,5.50953
675,6.75,5.48231
680,6.8,5.45493
685,6.85,5.4274
690,6.9,5.39972
695,6.95,5.37188
700,7,5.3439
705,7.05,5.31576
710,7.1,5.28746
715,7.15,5.25901
720,7.2,5.2304
725,7.25,5.20164
730,7.3,5.17272
735,7.35,5.14364
740,7.4,5.11441
745,7.45,5.08503
750,7.5,5.05548
755,7.55,5.02578
760,7.6,4.99593
765,7.65,4.96591
770,7.7,4.93574
775,7.75,4.9054
780,7.8,4.87491
785,7.85,4.84426
790,7.9,4.81345
795,7.95,4.78248
800,8,4.75135
805,8.05,4.72006
810,8.1,4.68862
815,8.15,4.65702
820,8.2,4.62526
825,8.25,4.59335
830,8.3,4.56127
835,8.35,4.52903
840,8.4,4.49664
845,8.45,4.46408
850,8.5,4.43136
855,8.55,4.39848
860,8.6,4.36544
865,8.65,4.33225
870,8.7,4.29889
875,8.75,4.26537
880,8.8,4.2317
885,8.85,4.19787
890,8.9,4.16388
895,8.95,4.12974
900,9,4.09544
905,9.05,4.06097
910,9.1,4.02635
915,9.15,3.99158
920,9.2,3.95664
925,9.25,3.92154
930,9.3,3.88628
935,9.35,3.85086
940,9.4,3.81528
945,9.45,3.77954
950,9.5,3.74364
955,9.55,3.70759
960,9.6,3.67137
965,9.65,3.635
970,9.7,3.59847
975,9.75,3.56179
980,9.8,3.52495
985,9.85,3.48797
990,9.9,3.45083
995,9.95,3.41354
1000,10,3.37611
1005,10.05,3.33854
1010,10.1,3.30083
1015,10.15,3.26298
1020,10.2,3.22499
1025,10.25,3.18686
1030,10.3,3.14861
1035,10.35,3.11023
1040,10.4,3.07172
1045,10.45,3.03308
1050,10.5,2.99433
1055,10.55,2.95547
1060,10.6,2.91649
1065,10.65,2.87741
1070,10.7,2.83823
1075,10.75,2.79895
1080,10.8,2.7596
1085,10.85,2.72016
1090,10.9,2.68067
1095,10.95,2.64111
1100,11,2.60152
1105,11.05,2.5619
1110,11.1,2.52227
1115,11.15,2.48264
1120,11.2,2.44303
1125,11.25,2.40345
1130,11.3,2.36393
1135,11.35,2.32449
1140,11.4,2.28516
1145,11.45,2.24595
1150,11.5,2.20688
1155,11.55,2.16799
1160,11.6,2.1293
1165,11.65,2.09084
1170,11.7,2.05265
1175,11.75,2.01475
1180,11.8,1.97718
1185,11.85,1.93999
1190,11.9,1.90321
1195,11.95,1.86687
1200,12,1.83103
1205,12.05,1.79573
1210,12.1,1.76101
1215,12.15,1.72692
1220,12.2,1.69351
1225,12.25,1.66083
1230,12.3,1.62891
1235,12.35,1.59781
1240,12.4,1.56757
1245,12.45,1.53825
1250,12.5,1.5099
1255,12.55,1.48256
1260,12.6,1.45629
1265,12.65,1.43116
1270,12.7,1.40722
1275,12.75,1.38454
1280,12.8,1.36319
1285,12.85,1.34323
1290,12.9,1.32471
1295,12.95,1.30769
1300,13,1.29219
1305,13.05,1.27823
1310,13.1,1.2658
1315,13.15,1.2549
1320,13.2,1.2455
1325,13.25,1.23756
1330,13.3,1.23104
1335,13.35,1.22589
1340,13.4,1.22203
1345,13.45,1.21942
1350,13.5,1.21799
1355,13.55,1.21765
1360,13.6,1.21835
1365,13.65,1.22003
1370,13.7,1.22261
1375,13.75,1.22605
1380,13.8,1.23029
1385,13.85,1.23526
1390,13.9,1.24091
1395,13.95,1.24719
1400,14,1.25405
1405,14.05,1.26144
1410,14.1,1.26932
1415,14.15,1.27763
1420,14.2,1.28633
1425,14.25,1.29538
1430,14.3,1.30474
1435,14.35,1.31436
1440,14.4,1.3242
1445,14.45,1.33423
1450,14.5,1.34441
1455,14.55,1.35469
1460,14.6,1.36505
1465,14.65,1.37545
1470,14.7,1.38585
1475,14.75,1.39624
1480,14.8,1.40658
1485,14.85,1.41685
1490,14.9,1.42702
1495,14.95,1.43708
1500,15,1.44699
1505,15.05,1.45675
1510,15.1,1.46633
1515,15.15,1.47572
1520,15.2,1.48491
1525,15.25,1.49387
1530,15.3,1.50262
1535,15.35,1.51113
1540,15.4,1.51939
1545,15.45,1.52741
1550,15.5,1.53517
1555,15.55,1.54267
1560,15.6,1.54991
1565,15.65,1.55687
1570,15.7,1.56356
1575,15.75,1.56997
1580,15.8,1.57611
1585,15.85,1.58198
1590,15.9,1.58758
1595,15.95,1.59292
1600,16,1.59799
1605,16.05,1.6028
1610,16.1,1.60735
1615,16.15,1.61164
1620,16.2,1.61569
1625,16.25,1.61948
1630,16.3,1.62304
1635,16.35,1.62635
1640,16.4,1.62944
1645,16.45,1.63229
1650,16.5,1.63492
1655,16.55,1.63731
1660,16.6,1.63947
1665,16.65,1.6414
1670,16.7,1.6431
1675,16.75,1.64456
1680,16.8,1.64579
1685,16.85,1.64679
1690,16.9,1.64755
1695,16.95,1.64808
1700,17,1.64837
1705,17.05,1.64843
1710,17.1,1.64826
1715,17.15,1.64784
1720,17.2,1.64718
1725,17.25,1.64626
1730,17.3,1.6451
1735,17.35,1.64367
1740,17.4,1.64198
1745,17.45,1.64001
1750,17.5,1.63777
1755,17.55,1.63526
1760,17.6,1.6325
1765,17.65,1.62956
1770,17.7,1.62656
1775,17.75,1.62363
1780,17.8,1.62089
1785,17.85,1.61841
1790,17.9,1.61624
1795,17.95,1.61437
1800,18,1.61282
1805,18.05,1.61156
1810,18.1,1.61061
1815,18.15,1.60994
1820,18.2,1.60955
1825,18.25,1.60943
1830,18.3,1.60958
1835,18.35,1.60999
1840,18.4,1.61067
1845,18.45,1.6116
1850,18.5,1.61278
1855,18.55,1.61423
1860,18.6,1.61594
1865,18.65,1.61792
1870,18.7,1.62014
1875,18.75,1.62261
1880,18.8,1.62531
1885,18.85,1.62823
1890,18.9,1.63137
1895,18.95,1.63472
1900,19,1.63825
1905,19.05,1.64197
1910,19.1,1.64585
1915,19.15,1.64987
1920,19.2,1.65403
1925,19.25,1.6583
1930,19.3,1.66269
1935,19.35,1.66718
1940,19.4,1.67177
1945,19.45,1.67645
1950,19.5,1.68122
1955,19.55,1.68608
1960,19.6,1.691
1965,19.65,1.69598
1970,19.7,1.70101
1975,19.75,1.70606
1980,19.8,1.71113
1985,19.85,1.71621
1990,19.9,1.72131
1995,19.95,1.72643
2000,20,1.73159
2005,20.05,1.73678
2010,20.1,1.742
2015,20.15,1.74728
2020,20.2,1.7526
2025,20.25,1.75796
2030,20.3,1.76338
2035,20.35,1.76886
2040,20.4,1.77441
2045,20.45,1.78003
2050,20.5,1.78573
2055,20.55,1.79151
2060,20.6,1.79738
2065,20.65,1.80333
2070,20.7,1.80935
2075,20.75,1.81547
2080,20.8,1.82168
2085,20.85,1.82797
2090,20.9,1.83436
2095,20.95,1.84085
2100,21,1.84743
2105,21.05,1.85412
2110,21.1,1.86092
2115,21.15,1.86783
2120,21.2,1.87486
2125,21.25,1.88203
2130,21.3,1.88933
2135,21.35,1.89676
2140,21.4,1.90433
2145,21.45,1.91205
2150,21.5,1.91992
2155,21.55,1.92795
2160,21.6,1.93615
2165,21.65,1.94452
2170,21.7,1.95308
2175,21.75,1.96183
2180,21.8,1.9708
2185,21.85,1.98
2190,21.9,1.98945
2195,21.95,1.99917
2200,22,2.0092
2205,22.05,2.01956
2210,22.1,2.03029
2215,22.15,2.04143
2220,22.2,2.05302
2225,22.25,2.06512
2230,22.3,2.07776
2235,22.35,2.09102
2240,22.4,2.10496
2245,22.45,2.11965
2250,22.5,2.13515
2255,22.55,2.1515
2260,22.6,2.16869
2265,22.65,2.18664
2270,22.7,2.2052
2275,22.75,2.22418
2280,22.8,2.24337
2285,22.85,2.26258
2290,22.9,2.28166
2295,22.95,2.3005
2300,23,2.31901
2305,23.05,2.33714
2310,23.1,2.35484
2315,23.15,2.37208
2320,23.2,2.38883
2325,23.25,2.40508
2330,23.3,2.42083
2335,23.35,2.43607
2340,23.4,2.45082
2345,23.45,2.46507
2350,23.5,2.47885
2355,23.55,2.49214
2360,23.6,2.50498
2365,23.65,2.51736
2370,23.7,2.5293
2375,23.75,2.54082
2380,23.8,2.55192
2385,23.85,2.56262
2390,23.9,2.57291
2395,23.95,2.58281
2400,24,2.5923
2405,24.05,2.60138
2410,24.1,2.61002
2415,24.15,2.61822
2420,24.2,2.62593
2425,24.25,2.63314
2430,24.3,2.63985
2435,24.35,2.64614
2440,24.4,2.65215
2445,24.45,2.6581
2450,24.5,2.66428
2455,24.55,2.67097
2460,24.6,2.67835
2465,24.65,2.68653
2470,24.7,2.69549
2475,24.75,2.70517
2480,24.8,2.71547
2485,24.85,2.72628
2490,24.9,2.7375
2495,24.95,2.74903
2500,25,2.76075
2505,25.05,2.77255
2510,25.1,2.78432
2515,25.15,2.79592
2520,25.2,2.80724
2525,25.25,2.81825
2530,25.3,2.82888
2535,25.35,2.83913
2540,25.4,2.84898
2545,25.45,2.85845
2550,25.5,2.86759
2555,25.55,2.87642
2560,25.6,2.88503
2565,25.65,2.8935
2570,25.7,2.9019
2575,25.75,2.91025
2580,25.8,2.91859
2585,25.85,2.92691
2590,25.9,2.93523
2595,25.95,2.94354
2600,26,2.95186
2605,26.05,2.96018
2610,26.1,2.9685
2615,26.15,2.97682
2620,26.2,2.98512
2625,26.25,2.99339
2630,26.3,3.00161
2635,26.35,3.00979
2640,26.4,3.01791
2645,26.45,3.02599
2650,26.5,3.03403
2655,26.55,3.04204
2660,26.6,3.05002
2665,26.65,3.05796
2670,26.7,3.06586
2675,26.75,3.07371
2680,26.8,3.08151
2685,26.85,3.08923
2690,26.9,3.09687
2695,26.95,3.10441
2700,27,3.11185
2705,27.05,3.11916
2710,27.1,3.12638
2715,27.15,3.13351
2720,27.2,3.14057
2725,27.25,3.14757
2730,27.3,3.15453
2735,27.35,3.16145
2740,27.4,3.16835
2745,27.45,3.17522
2750,27.5,3.18208
2755,27.55,3.18893
2760,27.6,3.19573
2765,27.65,3.20248
2770,27.7,3.20915
2775,27.75,3.21571
2780,27.8,3.22215
2785,27.85,3.2285
2790,27.9,3.23475
2795,27.95,3.24093
2800,28,3.24704
2805,28.05,3.25311
2810,28.1,3.25916
2815,28.15,3.26519
2820,28.2,3.27119
2825,28.25,3.27717
2830,28.3,3.28314
2835,28.35,3.28907
2840,28.4,3.29494
2845,28.45,3.30072
2850,28.5,3.30641
2855,28.55,3.31197
2860,28.6,3.31739
2865,28.65,3.32269
2870,28.7,3.32789
2875,28.75,3.33302
2880,28.8,3.3381
2885,28.85,3.34319
2890,28.9,3.34832
2895,28.95,3.35356
2900,29,3.35894
2905,29.05,3.36447
2910,29.1,3.37016
2915,29.15,3.37599
2920,29.2,3.38194
2925,29.25,3.38799
2930,29.3,3.39409
2935,29.35,3.40019
2940,29.4,3.40624
2945,29.45,3.41218
2950,29.5,3.41797
2955,29.55,3.42356
2960,29.6,3.42895
2965,29.65,3.43411
2970,29.7,3.43907
2975,29.75,3.44383
2980,29.8,3.44845
2985,29.85,3.45295
2990,29.9,3.45739
2995,29.95,3.46177
3000,30,3.46613
